"A"	"B"	"included"
"208"	208	9	"no"
"209"	209	2	"no"
"210"	210	7	"no"
"211"	211	6	"yes"
"212"	212	4	"no"
"213"	213	7	"no"
"214"	214	4	"yes"
"215"	215	1	"yes"
"216"	216	5	"no"
"217"	217	8	"no"
"218"	218	4	"no"
"219"	219	8	"yes"
"220"	220	3	"yes"
"221"	221	4	"yes"
"222"	222	10	"yes"
"223"	223	2	"yes"
"224"	224	8	"no"
"225"	225	8	"yes"
"226"	226	10	"yes"
"227"	227	9	"yes"
"228"	228	7	"yes"
"229"	229	2	"yes"
"230"	230	8	"yes"
"231"	231	5	"yes"
"232"	232	6	"yes"
"233"	233	2	"no"
"234"	234	1	"yes"
"235"	235	3	"yes"
"236"	236	6	"no"
"237"	237	5	"no"
"238"	238	7	"no"
"239"	239	2	"yes"
"240"	240	3	"no"
"241"	241	7	"yes"
"242"	242	9	"no"
"243"	243	3	"no"
"244"	244	3	"no"
"245"	245	5	"yes"
"246"	246	5	"no"
"247"	247	4	"no"
"248"	248	5	"no"
"249"	249	6	"no"
"250"	250	6	"no"
"251"	251	3	"yes"
"252"	252	4	"no"
"253"	253	10	"no"
"254"	254	4	"no"
"255"	255	2	"no"
"256"	256	4	"no"
"257"	257	10	"yes"
"258"	258	4	"yes"
"259"	259	6	"yes"
"260"	260	1	"no"
"261"	261	5	"yes"
"262"	262	5	"yes"
"263"	263	2	"yes"
"264"	264	7	"no"
"265"	265	6	"no"
"266"	266	7	"yes"
"267"	267	1	"no"
"268"	268	7	"no"
"269"	269	4	"yes"
"270"	270	7	"no"
"271"	271	6	"no"
"272"	272	4	"no"
"273"	273	10	"yes"
"274"	274	2	"yes"
"275"	275	10	"no"
"276"	276	9	"yes"
"277"	277	6	"yes"
"278"	278	6	"no"
"279"	279	5	"yes"
"280"	280	7	"no"
"281"	281	10	"no"
"282"	282	2	"no"
"283"	283	1	"no"
"284"	284	1	"yes"
"285"	285	1	"no"
"286"	286	3	"yes"
"287"	287	6	"no"
"288"	288	7	"no"
"289"	289	2	"yes"
"290"	290	4	"no"
"291"	291	10	"yes"
"292"	292	9	"yes"
"293"	293	7	"no"
"294"	294	2	"yes"
"295"	295	5	"yes"
"296"	296	9	"no"
"297"	297	10	"yes"
"298"	298	7	"no"
"299"	299	3	"no"
"300"	300	2	"yes"
"301"	301	3	"yes"
"302"	302	4	"yes"
"303"	303	2	"yes"
"304"	304	7	"no"
"305"	305	3	"no"
"306"	306	8	"no"
"307"	307	8	"yes"
"308"	308	6	"yes"
"309"	309	3	"yes"
"310"	310	2	"yes"
"311"	311	5	"no"
"312"	312	8	"yes"
"313"	313	10	"yes"
"314"	314	2	"yes"
"315"	315	2	"no"
"316"	316	9	"no"
"317"	317	8	"yes"
"318"	318	8	"yes"
"319"	319	5	"no"
"320"	320	10	"no"
"321"	321	10	"yes"
"322"	322	3	"yes"
"323"	323	2	"yes"
"324"	324	1	"yes"
"325"	325	6	"no"
"326"	326	9	"yes"
"327"	327	6	"yes"
"328"	328	9	"yes"
"329"	329	6	"no"
"330"	330	4	"yes"
"331"	331	2	"yes"
"332"	332	7	"yes"
"333"	333	6	"no"
"334"	334	8	"no"
"335"	335	5	"no"
"336"	336	2	"no"
"337"	337	7	"yes"
"338"	338	2	"yes"
"339"	339	7	"no"
"340"	340	3	"yes"
"341"	341	1	"no"
"342"	342	6	"yes"
"343"	343	5	"yes"
"344"	344	3	"yes"
"345"	345	5	"no"
"346"	346	9	"yes"
"347"	347	3	"no"
"348"	348	3	"no"
"349"	349	10	"yes"
"350"	350	4	"yes"
"351"	351	2	"yes"
"352"	352	1	"no"
"353"	353	7	"yes"
"354"	354	3	"yes"
"355"	355	1	"yes"
"356"	356	8	"yes"
"357"	357	1	"no"
"358"	358	3	"no"
"359"	359	3	"yes"
"360"	360	10	"no"
"361"	361	5	"no"
"362"	362	3	"no"
"363"	363	8	"yes"
"364"	364	7	"yes"
"365"	365	5	"no"
"366"	366	5	"yes"
"367"	367	3	"yes"
"368"	368	2	"yes"
"369"	369	9	"yes"
"370"	370	8	"no"
"371"	371	10	"no"
"372"	372	10	"yes"
"373"	373	4	"yes"
"374"	374	1	"no"
"375"	375	4	"no"
"376"	376	4	"yes"
"377"	377	7	"no"
"378"	378	4	"no"
"379"	379	8	"no"
"380"	380	10	"yes"
"381"	381	4	"yes"
"382"	382	5	"no"
"383"	383	9	"yes"
"384"	384	9	"yes"
"385"	385	1	"yes"
"386"	386	1	"no"
"387"	387	7	"no"
"388"	388	10	"yes"
"389"	389	3	"yes"
"390"	390	6	"yes"
"391"	391	6	"no"
"392"	392	10	"yes"
"393"	393	10	"no"
"394"	394	4	"yes"
"395"	395	4	"yes"
"396"	396	2	"no"
"397"	397	8	"no"
"398"	398	2	"yes"
"399"	399	3	"no"
"400"	400	8	"no"
"401"	401	9	"yes"
"402"	402	8	"no"
"403"	403	3	"yes"
"404"	404	6	"no"
"405"	405	3	"no"
"406"	406	8	"no"
"407"	407	4	"yes"
"408"	408	4	"no"
"409"	409	6	"no"
"410"	410	4	"no"
"411"	411	6	"yes"
"412"	412	10	"no"
"413"	413	5	"no"
"414"	414	9	"yes"
"415"	415	10	"yes"
"416"	416	9	"no"
"417"	417	4	"no"
"418"	418	2	"yes"
"419"	419	1	"yes"
"420"	420	8	"yes"
"421"	421	1	"no"
"422"	422	2	"yes"
"423"	423	4	"no"
"424"	424	1	"no"
"425"	425	9	"yes"
"426"	426	9	"no"
"427"	427	9	"yes"
"428"	428	7	"no"
"429"	429	2	"yes"
"430"	430	5	"yes"
"431"	431	9	"no"
"432"	432	7	"yes"
"433"	433	5	"yes"
"434"	434	2	"no"
"435"	435	8	"yes"
"436"	436	6	"no"
"437"	437	4	"yes"
"438"	438	8	"no"
"439"	439	4	"no"
"440"	440	8	"no"
"441"	441	1	"no"
"442"	442	9	"yes"
"443"	443	5	"no"
"444"	444	6	"yes"
"445"	445	4	"yes"
"446"	446	8	"no"
"447"	447	10	"no"
"448"	448	4	"no"
"449"	449	3	"no"
"450"	450	9	"yes"
"451"	451	9	"yes"
"452"	452	1	"yes"
"453"	453	10	"no"
"454"	454	8	"no"
"455"	455	6	"no"
"456"	456	10	"yes"
"457"	457	5	"yes"
"458"	458	2	"yes"
"459"	459	7	"yes"
"460"	460	4	"yes"
"461"	461	8	"yes"
"462"	462	2	"yes"
"463"	463	5	"yes"
"464"	464	5	"yes"
"465"	465	2	"no"
"466"	466	10	"no"
"467"	467	7	"yes"
"468"	468	6	"yes"
"469"	469	9	"no"
"470"	470	2	"yes"
"471"	471	9	"no"
"472"	472	4	"no"
"473"	473	9	"yes"
"474"	474	6	"no"
"475"	475	2	"yes"
"476"	476	9	"no"
"477"	477	1	"no"
"478"	478	8	"no"
"479"	479	4	"yes"
"480"	480	4	"no"
"481"	481	7	"yes"
"482"	482	3	"yes"
"483"	483	5	"yes"
"484"	484	2	"yes"
"485"	485	9	"no"
"486"	486	1	"no"
"487"	487	6	"no"
"488"	488	5	"no"
"489"	489	5	"no"
"490"	490	9	"yes"
"491"	491	9	"yes"
"492"	492	8	"no"
"493"	493	6	"no"
"494"	494	9	"no"
"495"	495	5	"no"
"496"	496	8	"no"
"497"	497	10	"no"
"498"	498	7	"yes"
"499"	499	4	"yes"
"500"	500	9	"yes"
"501"	501	6	"no"
"502"	502	9	"yes"
"503"	503	3	"yes"
"504"	504	7	"yes"
"505"	505	6	"yes"
"506"	506	3	"yes"
"507"	507	3	"yes"
"508"	508	6	"no"
"509"	509	8	"yes"
"510"	510	6	"no"
"511"	511	8	"yes"
"512"	512	4	"no"
"513"	513	2	"yes"
"514"	514	2	"yes"
"515"	515	7	"no"
"516"	516	4	"no"
"517"	517	7	"no"
"518"	518	5	"no"
"519"	519	10	"no"
"520"	520	4	"yes"
"521"	521	2	"no"
"522"	522	7	"yes"
"523"	523	6	"yes"
"524"	524	4	"yes"
"525"	525	5	"no"
"526"	526	8	"yes"
"527"	527	7	"no"
"528"	528	6	"yes"
"529"	529	6	"no"
"530"	530	7	"yes"
"531"	531	5	"yes"
"532"	532	4	"yes"
"533"	533	3	"yes"
"534"	534	7	"yes"
"535"	535	3	"no"
"536"	536	6	"yes"
"537"	537	10	"yes"
"538"	538	4	"yes"
"539"	539	9	"no"
"540"	540	5	"no"
"541"	541	2	"yes"
"542"	542	4	"yes"
"543"	543	3	"yes"
"544"	544	3	"yes"
"545"	545	1	"yes"
"546"	546	5	"yes"
"547"	547	1	"yes"
"548"	548	10	"yes"
"549"	549	1	"yes"
"550"	550	7	"no"
"551"	551	3	"no"
"552"	552	6	"no"
"553"	553	7	"no"
"554"	554	5	"yes"
"555"	555	3	"no"
"556"	556	8	"no"
"557"	557	7	"yes"
"558"	558	5	"no"
"559"	559	10	"no"
"560"	560	8	"yes"
"561"	561	6	"yes"
"562"	562	8	"yes"
"563"	563	3	"no"
"564"	564	9	"yes"
"565"	565	1	"no"
"566"	566	9	"yes"
"567"	567	4	"yes"
"568"	568	4	"no"
"569"	569	7	"no"
"570"	570	4	"yes"
"571"	571	4	"no"
"572"	572	5	"no"
"573"	573	5	"no"
"574"	574	5	"yes"
"575"	575	4	"no"
"576"	576	1	"no"
"577"	577	4	"yes"
"578"	578	5	"yes"
"579"	579	5	"no"
"580"	580	6	"no"
"581"	581	1	"no"
"582"	582	8	"yes"
"583"	583	2	"yes"
"584"	584	1	"yes"
"585"	585	7	"yes"
"586"	586	2	"no"
"587"	587	8	"yes"
"588"	588	5	"no"
"589"	589	1	"yes"
"590"	590	1	"no"
"591"	591	5	"yes"
"592"	592	10	"no"
"593"	593	6	"no"
"594"	594	1	"yes"
"595"	595	4	"no"
"596"	596	3	"no"
"597"	597	9	"no"
"598"	598	10	"no"
"599"	599	7	"yes"
"600"	600	7	"yes"
"601"	601	5	"no"
"602"	602	2	"no"
"603"	603	9	"no"
"604"	604	3	"no"
"605"	605	7	"yes"
"606"	606	6	"no"
"607"	607	3	"no"
"608"	608	2	"no"
"609"	609	8	"no"
"610"	610	5	"no"
"611"	611	9	"yes"
"612"	612	4	"yes"
"613"	613	7	"yes"
"614"	614	6	"no"
"615"	615	3	"yes"
"616"	616	6	"no"
"617"	617	5	"yes"
"618"	618	5	"no"
"619"	619	1	"yes"
"620"	620	2	"no"
"621"	621	3	"yes"
"622"	622	9	"no"
"623"	623	6	"no"
"624"	624	7	"no"
"625"	625	10	"no"
"626"	626	9	"no"
"627"	627	6	"yes"
"628"	628	9	"yes"
"629"	629	4	"yes"
"630"	630	6	"no"
"631"	631	1	"yes"
"632"	632	8	"yes"
"633"	633	9	"no"
"634"	634	4	"no"
"635"	635	3	"yes"
"636"	636	9	"no"
"637"	637	7	"yes"
"638"	638	4	"no"
"639"	639	8	"no"
"640"	640	6	"yes"
"641"	641	6	"no"
"642"	642	9	"no"
"643"	643	1	"no"
"644"	644	8	"yes"
"645"	645	2	"no"
"646"	646	3	"no"
"647"	647	9	"yes"
"648"	648	7	"no"
"649"	649	2	"no"
"650"	650	8	"no"
"651"	651	5	"no"
"652"	652	6	"no"
"653"	653	4	"yes"
"654"	654	10	"no"
"655"	655	7	"no"
"656"	656	6	"yes"
"657"	657	3	"no"
"658"	658	1	"no"
"659"	659	9	"yes"
"660"	660	9	"yes"
"661"	661	3	"yes"
"662"	662	6	"yes"
"663"	663	5	"yes"
"664"	664	10	"no"
"665"	665	8	"yes"
"666"	666	8	"no"
"667"	667	7	"no"
"668"	668	5	"yes"
"669"	669	8	"yes"
"670"	670	8	"yes"
"671"	671	10	"yes"
"672"	672	3	"yes"
"673"	673	4	"yes"
"674"	674	3	"no"
"675"	675	9	"no"
"676"	676	3	"yes"
"677"	677	2	"no"
"678"	678	2	"yes"
"679"	679	2	"no"
"680"	680	10	"no"
"681"	681	5	"no"
"682"	682	3	"yes"
"683"	683	6	"no"
"684"	684	5	"yes"
"685"	685	1	"yes"
"686"	686	1	"no"
"687"	687	6	"no"
"688"	688	4	"no"
"689"	689	6	"no"
"690"	690	3	"no"
"691"	691	1	"yes"
"692"	692	7	"no"
"693"	693	5	"yes"
"694"	694	1	"yes"
"695"	695	7	"yes"
"696"	696	7	"yes"
"697"	697	2	"yes"
"698"	698	2	"no"
"699"	699	8	"yes"
"700"	700	1	"no"
"701"	701	10	"no"
"702"	702	9	"yes"
"703"	703	3	"yes"
"704"	704	10	"no"
"705"	705	2	"no"
"706"	706	8	"no"
"707"	707	7	"no"
"708"	708	10	"yes"
"709"	709	8	"no"
"710"	710	7	"no"
"711"	711	7	"no"
"712"	712	3	"yes"
"713"	713	6	"yes"
"714"	714	7	"yes"
"715"	715	3	"yes"
"716"	716	10	"no"
"717"	717	8	"no"
"718"	718	10	"yes"
"719"	719	8	"yes"
"720"	720	1	"yes"
"721"	721	6	"yes"
"722"	722	1	"yes"
"723"	723	9	"yes"
"724"	724	8	"yes"
"725"	725	3	"no"
"726"	726	5	"yes"
"727"	727	9	"no"
"728"	728	4	"no"
"729"	729	1	"no"
"730"	730	3	"yes"
"731"	731	5	"yes"
"732"	732	9	"no"
"733"	733	2	"yes"
"734"	734	6	"no"
"735"	735	2	"no"
"736"	736	9	"yes"
"737"	737	10	"yes"
"738"	738	10	"yes"
"739"	739	6	"yes"
"740"	740	1	"no"
"741"	741	4	"no"
"742"	742	5	"yes"
"743"	743	9	"no"
"744"	744	4	"no"
"745"	745	1	"yes"
"746"	746	9	"no"
"747"	747	2	"no"
"748"	748	6	"yes"
"749"	749	5	"yes"
"750"	750	1	"no"
"751"	751	5	"yes"
"752"	752	7	"no"
"753"	753	3	"no"
"754"	754	10	"no"
"755"	755	2	"yes"
"756"	756	1	"yes"
"757"	757	4	"no"
"758"	758	2	"no"
"759"	759	6	"yes"
"760"	760	4	"no"
"761"	761	3	"yes"
"762"	762	7	"yes"
"763"	763	10	"no"
"764"	764	1	"no"
"765"	765	10	"no"
"766"	766	6	"yes"
"767"	767	4	"no"
"768"	768	2	"yes"
"769"	769	2	"yes"
"770"	770	2	"no"
"771"	771	4	"yes"
"772"	772	9	"yes"
"773"	773	10	"yes"
"774"	774	8	"no"
"775"	775	2	"yes"
"776"	776	2	"no"
"777"	777	5	"no"
"778"	778	3	"yes"
"779"	779	3	"yes"
"780"	780	10	"yes"
"781"	781	6	"no"
"782"	782	4	"yes"
"783"	783	8	"yes"
"784"	784	7	"yes"
"785"	785	4	"yes"
"786"	786	8	"no"
"787"	787	4	"yes"
"788"	788	3	"no"
"789"	789	8	"yes"
"790"	790	5	"no"
"791"	791	4	"yes"
"792"	792	3	"yes"
"793"	793	8	"no"
"794"	794	10	"yes"
"795"	795	10	"no"
"796"	796	9	"no"
"797"	797	8	"yes"
"798"	798	2	"yes"
"799"	799	5	"yes"
"800"	800	5	"no"
"801"	801	4	"yes"
"802"	802	5	"yes"
"803"	803	5	"no"
"804"	804	3	"no"
"805"	805	9	"no"
"806"	806	2	"no"
"807"	807	5	"yes"
"808"	808	6	"no"
"809"	809	4	"yes"
"810"	810	4	"no"
"811"	811	10	"no"
"812"	812	2	"yes"
"813"	813	9	"yes"
"814"	814	4	"yes"
"815"	815	4	"no"
"816"	816	7	"no"
"817"	817	6	"no"
"818"	818	7	"no"
"819"	819	8	"yes"
"820"	820	3	"yes"
"821"	821	4	"yes"
"822"	822	8	"no"
"823"	823	10	"no"
"824"	824	8	"yes"
"825"	825	10	"yes"
"826"	826	4	"no"
"827"	827	2	"no"
"828"	828	6	"no"
"829"	829	1	"no"
"830"	830	8	"no"
"831"	831	8	"no"
"832"	832	8	"yes"
"833"	833	2	"no"
"834"	834	2	"yes"
"835"	835	9	"yes"
"836"	836	1	"no"
"837"	837	3	"no"
"838"	838	7	"no"
"839"	839	5	"no"
"840"	840	5	"yes"
"841"	841	7	"yes"
"842"	842	2	"no"
"843"	843	2	"no"
"844"	844	1	"yes"
"845"	845	5	"yes"
"846"	846	10	"no"
"847"	847	4	"yes"
"848"	848	3	"yes"
"849"	849	1	"no"
"850"	850	7	"yes"
"851"	851	1	"yes"
"852"	852	9	"no"
"853"	853	7	"yes"
"854"	854	5	"yes"
"855"	855	8	"no"
"856"	856	10	"no"
"857"	857	6	"yes"
"858"	858	3	"yes"
"859"	859	8	"yes"
"860"	860	3	"yes"
"861"	861	1	"yes"
"862"	862	8	"no"
"863"	863	5	"no"
"864"	864	2	"yes"
"865"	865	8	"yes"
"866"	866	3	"yes"
"867"	867	6	"yes"
"868"	868	1	"yes"
"869"	869	4	"yes"
"870"	870	3	"yes"
"871"	871	8	"no"
"872"	872	7	"yes"
"873"	873	4	"no"
"874"	874	5	"no"
"875"	875	1	"yes"
"876"	876	2	"no"
"877"	877	4	"no"
"878"	878	4	"yes"
"879"	879	2	"yes"
"880"	880	2	"yes"
"881"	881	8	"no"
"882"	882	9	"yes"
"883"	883	9	"no"
"884"	884	5	"no"
"885"	885	10	"no"
"886"	886	6	"no"
"887"	887	7	"yes"
"888"	888	1	"yes"
"889"	889	5	"yes"
"890"	890	6	"yes"
"891"	891	5	"no"
"892"	892	3	"no"
"893"	893	9	"no"
"894"	894	7	"yes"
"895"	895	2	"no"
"896"	896	6	"no"
"897"	897	9	"yes"
"898"	898	5	"no"
"899"	899	6	"yes"
"900"	900	7	"no"
"901"	901	10	"yes"
"902"	902	6	"no"
"903"	903	8	"no"
"904"	904	4	"yes"
"905"	905	4	"no"
"906"	906	6	"no"
"907"	907	7	"no"
"908"	908	7	"yes"
"909"	909	4	"no"
"910"	910	5	"no"
"911"	911	10	"no"
"912"	912	8	"no"
"913"	913	10	"yes"
"914"	914	2	"yes"
"915"	915	8	"yes"
"916"	916	7	"no"
"917"	917	1	"yes"
"918"	918	6	"yes"
"919"	919	4	"no"
"920"	920	1	"yes"
"921"	921	6	"no"
"922"	922	4	"yes"
"923"	923	3	"no"
"924"	924	8	"yes"
"925"	925	2	"yes"
"926"	926	5	"no"
"927"	927	9	"yes"
"928"	928	4	"yes"
"929"	929	1	"no"
"930"	930	3	"yes"
"931"	931	4	"yes"
"932"	932	2	"yes"
"933"	933	3	"no"
"934"	934	3	"no"
"935"	935	5	"yes"
"936"	936	1	"yes"
"937"	937	7	"yes"
"938"	938	8	"no"
"939"	939	9	"no"
"940"	940	8	"yes"
"941"	941	7	"yes"
"942"	942	7	"no"
"943"	943	4	"yes"
"944"	944	1	"no"
"945"	945	5	"yes"
"946"	946	5	"yes"
"947"	947	9	"yes"
"948"	948	10	"no"
"949"	949	4	"yes"
"950"	950	3	"no"
"951"	951	7	"no"
"952"	952	8	"no"
"953"	953	5	"yes"
"954"	954	8	"yes"
"955"	955	1	"yes"
"956"	956	4	"no"
"957"	957	9	"no"
"958"	958	10	"no"
"959"	959	7	"no"
"960"	960	1	"yes"
"961"	961	1	"yes"
"962"	962	3	"no"
"963"	963	1	"yes"
"964"	964	2	"no"
"965"	965	3	"no"
"966"	966	10	"yes"
"967"	967	2	"yes"
"968"	968	8	"no"
"969"	969	10	"no"
"970"	970	7	"yes"
"971"	971	3	"no"
"972"	972	7	"no"
"973"	973	4	"yes"
"974"	974	1	"yes"
"975"	975	3	"no"
"976"	976	7	"no"
"977"	977	9	"no"
"978"	978	5	"yes"
"979"	979	7	"no"
"980"	980	6	"yes"
"981"	981	9	"no"
"982"	982	5	"yes"
"983"	983	2	"no"
"984"	984	10	"no"
"985"	985	10	"no"
"986"	986	10	"no"
"987"	987	1	"no"
"988"	988	4	"yes"
"989"	989	8	"yes"
"990"	990	2	"yes"
"991"	991	8	"no"
"992"	992	5	"yes"
"993"	993	1	"yes"
"994"	994	7	"no"
"995"	995	9	"yes"
"996"	996	6	"yes"
"997"	997	4	"no"
"998"	998	9	"yes"
"999"	999	7	"yes"
"1000"	1000	1	"yes"
