"A"	"B"	"included"
"90"	90	9	"yes"
"91"	91	9	"yes"
"92"	92	9	"yes"
"93"	93	5	"yes"
"94"	94	2	"no"
"95"	95	8	"no"
"96"	96	8	"yes"
"97"	97	9	"yes"
"98"	98	8	"no"
"99"	99	8	"yes"
"100"	100	6	"no"
"101"	101	4	"yes"
"102"	102	6	"no"
"103"	103	1	"no"
"104"	104	7	"no"
"105"	105	5	"no"
"106"	106	2	"yes"
"107"	107	5	"yes"
"108"	108	2	"yes"
"109"	109	7	"yes"
"110"	110	1	"yes"
"111"	111	6	"yes"
"112"	112	3	"yes"
"113"	113	2	"yes"
"114"	114	2	"yes"
"115"	115	2	"no"
"116"	116	1	"yes"
"117"	117	5	"no"
"118"	118	1	"yes"
"119"	119	5	"yes"
"120"	120	5	"yes"
"121"	121	7	"no"
"122"	122	7	"yes"
"123"	123	6	"no"
"124"	124	10	"no"
"125"	125	4	"no"
"126"	126	10	"yes"
"127"	127	6	"yes"
"128"	128	10	"yes"
"129"	129	5	"yes"
"130"	130	7	"no"
"131"	131	10	"no"
"132"	132	8	"yes"
"133"	133	2	"yes"
"134"	134	3	"yes"
"135"	135	3	"yes"
"136"	136	4	"yes"
"137"	137	10	"yes"
"138"	138	6	"yes"
"139"	139	2	"no"
"140"	140	10	"yes"
"141"	141	7	"yes"
"142"	142	3	"yes"
"143"	143	5	"yes"
"144"	144	9	"yes"
"145"	145	7	"yes"
"146"	146	6	"no"
"147"	147	3	"yes"
"148"	148	8	"yes"
"149"	149	7	"yes"
"150"	150	6	"no"
"151"	151	1	"no"
"152"	152	10	"yes"
"153"	153	7	"yes"
"154"	154	8	"no"
"155"	155	8	"yes"
"156"	156	6	"yes"
"157"	157	5	"no"
"158"	158	10	"no"
"159"	159	8	"yes"
"160"	160	10	"yes"
"161"	161	3	"yes"
"162"	162	10	"yes"
"163"	163	6	"yes"
"164"	164	8	"yes"
"165"	165	6	"no"
"166"	166	5	"no"
"167"	167	4	"no"
"168"	168	5	"yes"
"169"	169	1	"yes"
"170"	170	2	"yes"
"171"	171	4	"no"
"172"	172	8	"no"
"173"	173	10	"yes"
"174"	174	8	"yes"
"175"	175	5	"yes"
"176"	176	9	"no"
"177"	177	5	"yes"
"178"	178	9	"no"
"179"	179	4	"no"
"180"	180	7	"yes"
"181"	181	4	"yes"
"182"	182	1	"no"
"183"	183	2	"no"
"184"	184	4	"yes"
"185"	185	1	"yes"
"186"	186	3	"yes"
"187"	187	6	"no"
"188"	188	2	"yes"
"189"	189	5	"no"
"190"	190	4	"no"
"191"	191	7	"no"
"192"	192	1	"yes"
"193"	193	4	"yes"
"194"	194	8	"no"
"195"	195	5	"yes"
"196"	196	6	"yes"
"197"	197	2	"yes"
"198"	198	2	"yes"
"199"	199	2	"yes"
"200"	200	3	"no"
"201"	201	3	"no"
"202"	202	3	"yes"
"203"	203	3	"yes"
"204"	204	6	"yes"
"205"	205	2	"no"
"206"	206	7	"no"
"207"	207	10	"yes"
"208"	208	1	"yes"
"209"	209	7	"yes"
"210"	210	10	"no"
"211"	211	3	"yes"
"212"	212	5	"yes"
"213"	213	10	"yes"
"214"	214	10	"yes"
"215"	215	6	"no"
"216"	216	2	"yes"
"217"	217	4	"yes"
"218"	218	7	"yes"
"219"	219	7	"no"
"220"	220	7	"yes"
"221"	221	2	"yes"
"222"	222	5	"no"
"223"	223	8	"yes"
"224"	224	6	"yes"
"225"	225	6	"yes"
"226"	226	6	"yes"
"227"	227	1	"no"
"228"	228	6	"no"
"229"	229	6	"yes"
"230"	230	6	"yes"
"231"	231	6	"yes"
"232"	232	4	"yes"
"233"	233	5	"yes"
"234"	234	4	"yes"
"235"	235	9	"no"
"236"	236	4	"yes"
"237"	237	5	"yes"
"238"	238	8	"yes"
"239"	239	7	"yes"
"240"	240	9	"no"
"241"	241	9	"yes"
"242"	242	3	"yes"
"243"	243	7	"yes"
"244"	244	3	"yes"
"245"	245	8	"yes"
"246"	246	6	"yes"
"247"	247	8	"yes"
"248"	248	6	"no"
"249"	249	2	"yes"
"250"	250	3	"yes"
"251"	251	6	"yes"
"252"	252	2	"yes"
"253"	253	5	"yes"
"254"	254	3	"yes"
"255"	255	7	"yes"
"256"	256	8	"yes"
"257"	257	1	"no"
"258"	258	6	"no"
"259"	259	8	"yes"
"260"	260	10	"no"
"261"	261	1	"yes"
"262"	262	7	"yes"
"263"	263	1	"yes"
"264"	264	6	"yes"
"265"	265	3	"no"
"266"	266	2	"yes"
"267"	267	3	"yes"
"268"	268	9	"no"
"269"	269	7	"no"
"270"	270	1	"yes"
"271"	271	5	"yes"
"272"	272	7	"yes"
"273"	273	6	"no"
"274"	274	10	"yes"
"275"	275	9	"no"
"276"	276	9	"no"
"277"	277	7	"yes"
"278"	278	6	"yes"
"279"	279	4	"yes"
"280"	280	10	"yes"
"281"	281	2	"yes"
"282"	282	6	"yes"
"283"	283	2	"yes"
"284"	284	6	"yes"
"285"	285	4	"yes"
"286"	286	7	"yes"
"287"	287	1	"yes"
"288"	288	5	"yes"
"289"	289	2	"no"
"290"	290	1	"yes"
"291"	291	7	"yes"
"292"	292	3	"yes"
"293"	293	7	"no"
"294"	294	6	"no"
"295"	295	8	"yes"
"296"	296	1	"yes"
"297"	297	10	"yes"
"298"	298	10	"no"
"299"	299	4	"yes"
"300"	300	6	"yes"
"301"	301	9	"yes"
"302"	302	3	"no"
"303"	303	3	"no"
"304"	304	10	"yes"
"305"	305	6	"no"
"306"	306	9	"no"
"307"	307	1	"yes"
"308"	308	8	"no"
"309"	309	7	"yes"
"310"	310	6	"no"
"311"	311	5	"yes"
"312"	312	8	"yes"
"313"	313	3	"yes"
"314"	314	10	"yes"
"315"	315	1	"no"
"316"	316	3	"no"
"317"	317	3	"yes"
"318"	318	3	"yes"
"319"	319	7	"no"
"320"	320	9	"yes"
"321"	321	8	"no"
"322"	322	1	"yes"
"323"	323	8	"yes"
"324"	324	6	"no"
"325"	325	5	"yes"
"326"	326	4	"yes"
"327"	327	6	"yes"
"328"	328	3	"yes"
"329"	329	7	"yes"
"330"	330	4	"yes"
"331"	331	8	"yes"
"332"	332	5	"yes"
"333"	333	1	"no"
"334"	334	10	"yes"
"335"	335	2	"no"
"336"	336	6	"yes"
"337"	337	3	"yes"
"338"	338	6	"yes"
"339"	339	9	"yes"
"340"	340	8	"yes"
"341"	341	6	"yes"
"342"	342	3	"yes"
"343"	343	10	"yes"
"344"	344	6	"no"
"345"	345	1	"yes"
"346"	346	8	"yes"
"347"	347	5	"yes"
"348"	348	4	"yes"
"349"	349	1	"no"
"350"	350	8	"yes"
"351"	351	7	"no"
"352"	352	6	"no"
"353"	353	3	"no"
"354"	354	8	"yes"
"355"	355	1	"no"
"356"	356	6	"yes"
"357"	357	9	"yes"
"358"	358	5	"yes"
"359"	359	10	"no"
"360"	360	9	"no"
"361"	361	10	"yes"
"362"	362	8	"no"
"363"	363	1	"no"
"364"	364	3	"no"
"365"	365	4	"yes"
"366"	366	6	"yes"
"367"	367	5	"yes"
"368"	368	4	"yes"
"369"	369	5	"no"
"370"	370	6	"yes"
"371"	371	2	"yes"
"372"	372	8	"yes"
"373"	373	3	"no"
"374"	374	6	"yes"
"375"	375	5	"yes"
"376"	376	7	"no"
"377"	377	7	"no"
"378"	378	4	"no"
"379"	379	4	"yes"
"380"	380	8	"yes"
"381"	381	6	"yes"
"382"	382	6	"no"
"383"	383	4	"yes"
"384"	384	8	"yes"
"385"	385	9	"yes"
"386"	386	4	"no"
"387"	387	9	"yes"
"388"	388	8	"yes"
"389"	389	2	"yes"
"390"	390	3	"no"
"391"	391	8	"yes"
"392"	392	10	"yes"
"393"	393	3	"yes"
"394"	394	2	"no"
"395"	395	10	"yes"
"396"	396	4	"yes"
"397"	397	2	"no"
"398"	398	1	"yes"
"399"	399	7	"yes"
"400"	400	4	"no"
"401"	401	3	"no"
"402"	402	10	"no"
"403"	403	8	"no"
"404"	404	6	"yes"
"405"	405	3	"yes"
"406"	406	4	"yes"
"407"	407	4	"no"
"408"	408	4	"yes"
"409"	409	7	"no"
"410"	410	4	"yes"
"411"	411	9	"yes"
"412"	412	1	"no"
"413"	413	9	"no"
"414"	414	5	"no"
"415"	415	2	"yes"
"416"	416	9	"no"
"417"	417	10	"yes"
"418"	418	4	"yes"
"419"	419	3	"no"
"420"	420	5	"no"
"421"	421	3	"yes"
"422"	422	8	"no"
"423"	423	8	"yes"
"424"	424	10	"yes"
"425"	425	2	"yes"
"426"	426	2	"yes"
"427"	427	1	"yes"
"428"	428	4	"yes"
"429"	429	4	"yes"
"430"	430	8	"no"
"431"	431	9	"no"
"432"	432	8	"no"
"433"	433	8	"no"
"434"	434	7	"yes"
"435"	435	10	"no"
"436"	436	8	"yes"
"437"	437	10	"no"
"438"	438	10	"yes"
"439"	439	3	"yes"
"440"	440	4	"yes"
"441"	441	2	"yes"
"442"	442	3	"no"
"443"	443	2	"no"
"444"	444	5	"no"
"445"	445	9	"yes"
"446"	446	7	"yes"
"447"	447	7	"yes"
"448"	448	7	"yes"
"449"	449	5	"yes"
"450"	450	8	"no"
"451"	451	3	"yes"
"452"	452	8	"yes"
"453"	453	9	"yes"
"454"	454	10	"yes"
"455"	455	9	"yes"
"456"	456	8	"no"
"457"	457	2	"yes"
"458"	458	2	"yes"
"459"	459	5	"yes"
"460"	460	9	"yes"
"461"	461	4	"no"
"462"	462	10	"no"
"463"	463	6	"yes"
"464"	464	5	"no"
"465"	465	9	"yes"
"466"	466	1	"yes"
"467"	467	10	"no"
"468"	468	5	"yes"
"469"	469	6	"yes"
"470"	470	8	"yes"
"471"	471	10	"yes"
"472"	472	7	"no"
"473"	473	10	"yes"
"474"	474	10	"yes"
"475"	475	7	"no"
"476"	476	4	"no"
"477"	477	5	"no"
"478"	478	8	"yes"
"479"	479	1	"yes"
"480"	480	5	"yes"
"481"	481	8	"no"
"482"	482	1	"yes"
"483"	483	5	"yes"
"484"	484	2	"yes"
"485"	485	7	"no"
"486"	486	8	"yes"
"487"	487	2	"yes"
"488"	488	10	"no"
"489"	489	9	"yes"
"490"	490	2	"yes"
"491"	491	5	"yes"
"492"	492	4	"no"
"493"	493	10	"yes"
"494"	494	7	"yes"
"495"	495	8	"no"
"496"	496	4	"yes"
"497"	497	10	"yes"
"498"	498	9	"yes"
"499"	499	8	"no"
"500"	500	1	"yes"
"501"	501	3	"yes"
"502"	502	1	"yes"
"503"	503	10	"yes"
"504"	504	2	"yes"
"505"	505	9	"yes"
"506"	506	7	"no"
"507"	507	3	"yes"
"508"	508	9	"yes"
"509"	509	4	"yes"
"510"	510	10	"yes"
"511"	511	1	"no"
"512"	512	9	"yes"
"513"	513	6	"yes"
"514"	514	4	"yes"
"515"	515	5	"yes"
"516"	516	4	"no"
"517"	517	9	"yes"
"518"	518	7	"yes"
"519"	519	2	"no"
"520"	520	1	"yes"
"521"	521	1	"no"
"522"	522	8	"no"
"523"	523	6	"yes"
"524"	524	7	"no"
"525"	525	9	"yes"
"526"	526	8	"yes"
"527"	527	4	"yes"
"528"	528	6	"yes"
"529"	529	10	"yes"
"530"	530	7	"no"
"531"	531	3	"yes"
"532"	532	3	"yes"
"533"	533	9	"yes"
"534"	534	1	"yes"
"535"	535	8	"yes"
"536"	536	6	"yes"
"537"	537	6	"no"
"538"	538	2	"yes"
"539"	539	6	"no"
"540"	540	6	"no"
"541"	541	3	"yes"
"542"	542	2	"no"
"543"	543	2	"no"
"544"	544	4	"yes"
"545"	545	10	"yes"
"546"	546	4	"yes"
"547"	547	2	"yes"
"548"	548	9	"yes"
"549"	549	10	"yes"
"550"	550	1	"yes"
"551"	551	8	"no"
"552"	552	5	"yes"
"553"	553	5	"yes"
"554"	554	8	"no"
"555"	555	3	"yes"
"556"	556	10	"no"
"557"	557	4	"yes"
"558"	558	2	"yes"
"559"	559	2	"yes"
"560"	560	8	"yes"
"561"	561	3	"yes"
"562"	562	4	"yes"
"563"	563	7	"yes"
"564"	564	2	"no"
"565"	565	4	"yes"
"566"	566	5	"yes"
"567"	567	10	"no"
"568"	568	9	"yes"
"569"	569	3	"yes"
"570"	570	3	"yes"
"571"	571	3	"no"
"572"	572	5	"yes"
"573"	573	6	"yes"
"574"	574	4	"yes"
"575"	575	4	"no"
"576"	576	6	"no"
"577"	577	1	"yes"
"578"	578	7	"yes"
"579"	579	7	"yes"
"580"	580	10	"no"
"581"	581	10	"yes"
"582"	582	1	"no"
"583"	583	3	"yes"
"584"	584	7	"yes"
"585"	585	6	"no"
"586"	586	10	"no"
"587"	587	6	"yes"
"588"	588	7	"yes"
"589"	589	4	"yes"
"590"	590	9	"no"
"591"	591	3	"yes"
"592"	592	6	"yes"
"593"	593	6	"no"
"594"	594	4	"yes"
"595"	595	9	"yes"
"596"	596	7	"yes"
"597"	597	2	"no"
"598"	598	10	"yes"
"599"	599	5	"no"
"600"	600	6	"no"
"601"	601	5	"yes"
"602"	602	4	"yes"
"603"	603	8	"no"
"604"	604	9	"no"
"605"	605	6	"yes"
"606"	606	9	"yes"
"607"	607	6	"yes"
"608"	608	10	"no"
"609"	609	7	"yes"
"610"	610	9	"yes"
"611"	611	8	"no"
"612"	612	1	"yes"
"613"	613	8	"yes"
"614"	614	3	"yes"
"615"	615	1	"yes"
"616"	616	6	"yes"
"617"	617	8	"no"
"618"	618	4	"no"
"619"	619	6	"no"
"620"	620	8	"yes"
"621"	621	4	"yes"
"622"	622	7	"yes"
"623"	623	2	"yes"
"624"	624	10	"yes"
"625"	625	7	"yes"
"626"	626	1	"no"
"627"	627	1	"no"
"628"	628	10	"yes"
"629"	629	5	"yes"
"630"	630	9	"no"
"631"	631	10	"yes"
"632"	632	4	"yes"
"633"	633	3	"yes"
"634"	634	10	"yes"
"635"	635	1	"no"
"636"	636	4	"yes"
"637"	637	9	"no"
"638"	638	2	"yes"
"639"	639	7	"yes"
"640"	640	4	"yes"
"641"	641	1	"yes"
"642"	642	8	"yes"
"643"	643	9	"yes"
"644"	644	4	"no"
"645"	645	8	"no"
"646"	646	5	"yes"
"647"	647	8	"yes"
"648"	648	5	"yes"
"649"	649	4	"yes"
"650"	650	2	"yes"
"651"	651	1	"yes"
"652"	652	5	"no"
"653"	653	9	"yes"
"654"	654	1	"yes"
"655"	655	5	"yes"
"656"	656	10	"no"
"657"	657	10	"yes"
"658"	658	4	"no"
"659"	659	1	"no"
"660"	660	1	"no"
"661"	661	8	"yes"
"662"	662	6	"yes"
"663"	663	5	"yes"
"664"	664	10	"yes"
"665"	665	1	"yes"
"666"	666	10	"yes"
"667"	667	6	"yes"
"668"	668	7	"yes"
"669"	669	3	"yes"
"670"	670	6	"no"
"671"	671	8	"yes"
"672"	672	2	"no"
"673"	673	2	"no"
"674"	674	2	"yes"
"675"	675	7	"yes"
"676"	676	10	"yes"
"677"	677	4	"yes"
"678"	678	4	"yes"
"679"	679	9	"yes"
"680"	680	4	"no"
"681"	681	2	"no"
"682"	682	7	"no"
"683"	683	4	"yes"
"684"	684	2	"yes"
"685"	685	8	"yes"
"686"	686	9	"yes"
"687"	687	5	"no"
"688"	688	1	"yes"
"689"	689	7	"no"
"690"	690	6	"yes"
"691"	691	10	"no"
"692"	692	6	"yes"
"693"	693	4	"no"
"694"	694	4	"yes"
"695"	695	9	"yes"
"696"	696	5	"no"
"697"	697	7	"yes"
"698"	698	1	"yes"
"699"	699	4	"yes"
"700"	700	10	"no"
"701"	701	7	"yes"
"702"	702	3	"yes"
"703"	703	9	"yes"
"704"	704	6	"no"
"705"	705	6	"yes"
"706"	706	8	"no"
"707"	707	2	"no"
"708"	708	6	"yes"
"709"	709	8	"no"
"710"	710	2	"yes"
"711"	711	4	"yes"
"712"	712	4	"no"
"713"	713	2	"yes"
"714"	714	1	"yes"
"715"	715	5	"yes"
"716"	716	5	"yes"
"717"	717	7	"no"
"718"	718	5	"yes"
"719"	719	6	"yes"
"720"	720	4	"yes"
"721"	721	8	"yes"
"722"	722	1	"yes"
"723"	723	3	"no"
"724"	724	10	"yes"
"725"	725	1	"yes"
"726"	726	1	"no"
"727"	727	8	"yes"
"728"	728	9	"yes"
"729"	729	7	"yes"
"730"	730	5	"yes"
"731"	731	8	"yes"
"732"	732	9	"yes"
"733"	733	8	"yes"
"734"	734	6	"yes"
"735"	735	2	"yes"
"736"	736	7	"yes"
"737"	737	6	"no"
"738"	738	3	"yes"
"739"	739	2	"yes"
"740"	740	9	"yes"
"741"	741	4	"no"
"742"	742	7	"no"
"743"	743	4	"yes"
"744"	744	7	"yes"
"745"	745	9	"yes"
"746"	746	9	"yes"
"747"	747	4	"yes"
"748"	748	10	"yes"
"749"	749	9	"yes"
"750"	750	10	"yes"
"751"	751	2	"yes"
"752"	752	8	"no"
"753"	753	7	"yes"
"754"	754	6	"yes"
"755"	755	7	"no"
"756"	756	9	"yes"
"757"	757	2	"yes"
"758"	758	10	"yes"
"759"	759	8	"yes"
"760"	760	10	"yes"
"761"	761	6	"yes"
"762"	762	3	"yes"
"763"	763	8	"no"
"764"	764	5	"yes"
"765"	765	5	"yes"
"766"	766	2	"yes"
"767"	767	6	"yes"
"768"	768	3	"yes"
"769"	769	5	"yes"
"770"	770	4	"no"
"771"	771	3	"yes"
"772"	772	2	"yes"
"773"	773	10	"yes"
"774"	774	8	"yes"
"775"	775	1	"no"
"776"	776	7	"yes"
"777"	777	5	"yes"
"778"	778	10	"no"
"779"	779	9	"yes"
"780"	780	6	"yes"
"781"	781	1	"no"
"782"	782	5	"no"
"783"	783	5	"no"
"784"	784	3	"yes"
"785"	785	6	"no"
"786"	786	4	"yes"
"787"	787	7	"yes"
"788"	788	1	"no"
"789"	789	8	"yes"
"790"	790	9	"yes"
"791"	791	2	"yes"
"792"	792	10	"yes"
"793"	793	6	"no"
"794"	794	8	"yes"
"795"	795	7	"no"
"796"	796	6	"yes"
"797"	797	9	"yes"
"798"	798	5	"no"
"799"	799	3	"yes"
"800"	800	3	"yes"
"801"	801	1	"no"
"802"	802	5	"yes"
"803"	803	1	"yes"
"804"	804	9	"no"
"805"	805	5	"yes"
"806"	806	9	"yes"
"807"	807	1	"yes"
"808"	808	8	"no"
"809"	809	6	"no"
"810"	810	6	"yes"
"811"	811	9	"yes"
"812"	812	9	"yes"
"813"	813	7	"yes"
"814"	814	3	"no"
"815"	815	10	"yes"
"816"	816	6	"yes"
"817"	817	7	"yes"
"818"	818	7	"yes"
"819"	819	8	"yes"
"820"	820	2	"yes"
"821"	821	9	"no"
"822"	822	10	"yes"
"823"	823	5	"yes"
"824"	824	3	"yes"
"825"	825	1	"yes"
"826"	826	4	"yes"
"827"	827	5	"no"
"828"	828	10	"yes"
"829"	829	3	"yes"
"830"	830	4	"yes"
"831"	831	6	"yes"
"832"	832	10	"yes"
"833"	833	3	"yes"
"834"	834	9	"yes"
"835"	835	6	"yes"
"836"	836	5	"yes"
"837"	837	6	"no"
"838"	838	7	"no"
"839"	839	1	"yes"
"840"	840	7	"no"
"841"	841	1	"yes"
"842"	842	4	"no"
"843"	843	1	"no"
"844"	844	6	"no"
"845"	845	6	"no"
"846"	846	8	"yes"
"847"	847	4	"yes"
"848"	848	3	"yes"
"849"	849	2	"no"
"850"	850	2	"yes"
"851"	851	7	"no"
"852"	852	8	"yes"
"853"	853	9	"yes"
"854"	854	9	"yes"
"855"	855	7	"no"
"856"	856	2	"yes"
"857"	857	7	"yes"
"858"	858	8	"no"
"859"	859	10	"yes"
"860"	860	6	"no"
"861"	861	7	"no"
"862"	862	7	"no"
"863"	863	10	"yes"
"864"	864	1	"no"
"865"	865	6	"yes"
"866"	866	9	"yes"
"867"	867	9	"yes"
"868"	868	3	"yes"
"869"	869	2	"no"
"870"	870	8	"yes"
"871"	871	2	"no"
"872"	872	6	"yes"
"873"	873	4	"yes"
"874"	874	4	"yes"
"875"	875	2	"yes"
"876"	876	1	"yes"
"877"	877	9	"yes"
"878"	878	4	"yes"
"879"	879	2	"yes"
"880"	880	2	"no"
"881"	881	5	"yes"
"882"	882	1	"no"
"883"	883	1	"yes"
"884"	884	4	"yes"
"885"	885	10	"no"
"886"	886	5	"no"
"887"	887	10	"yes"
"888"	888	5	"yes"
"889"	889	3	"no"
"890"	890	3	"no"
"891"	891	6	"yes"
"892"	892	4	"no"
"893"	893	2	"no"
"894"	894	10	"no"
"895"	895	10	"no"
"896"	896	9	"yes"
"897"	897	6	"yes"
"898"	898	1	"no"
"899"	899	10	"yes"
"900"	900	5	"yes"
"901"	901	9	"yes"
"902"	902	4	"yes"
"903"	903	8	"yes"
"904"	904	5	"no"
"905"	905	4	"yes"
"906"	906	9	"yes"
"907"	907	8	"yes"
"908"	908	10	"yes"
"909"	909	9	"yes"
"910"	910	9	"yes"
"911"	911	3	"yes"
"912"	912	7	"no"
"913"	913	3	"yes"
"914"	914	5	"yes"
"915"	915	5	"yes"
"916"	916	1	"no"
"917"	917	3	"yes"
"918"	918	7	"no"
"919"	919	2	"no"
"920"	920	10	"yes"
"921"	921	8	"yes"
"922"	922	2	"yes"
"923"	923	4	"yes"
"924"	924	5	"yes"
"925"	925	7	"yes"
"926"	926	7	"yes"
"927"	927	8	"yes"
"928"	928	9	"yes"
"929"	929	7	"yes"
"930"	930	10	"yes"
"931"	931	6	"yes"
"932"	932	10	"no"
"933"	933	6	"yes"
"934"	934	5	"no"
"935"	935	6	"yes"
"936"	936	9	"no"
"937"	937	10	"no"
"938"	938	6	"yes"
"939"	939	8	"yes"
"940"	940	4	"yes"
"941"	941	8	"yes"
"942"	942	1	"no"
"943"	943	3	"yes"
"944"	944	1	"yes"
"945"	945	1	"yes"
"946"	946	10	"yes"
"947"	947	9	"yes"
"948"	948	1	"yes"
"949"	949	2	"yes"
"950"	950	8	"no"
"951"	951	6	"yes"
"952"	952	7	"yes"
"953"	953	1	"no"
"954"	954	2	"yes"
"955"	955	9	"no"
"956"	956	9	"yes"
"957"	957	9	"no"
"958"	958	7	"yes"
"959"	959	5	"yes"
"960"	960	7	"yes"
"961"	961	2	"yes"
"962"	962	10	"no"
"963"	963	9	"no"
"964"	964	9	"yes"
"965"	965	4	"yes"
"966"	966	2	"yes"
"967"	967	2	"yes"
"968"	968	3	"no"
"969"	969	5	"yes"
"970"	970	5	"no"
"971"	971	3	"yes"
"972"	972	2	"yes"
"973"	973	6	"yes"
"974"	974	7	"yes"
"975"	975	7	"yes"
"976"	976	3	"no"
"977"	977	9	"yes"
"978"	978	2	"no"
"979"	979	2	"yes"
"980"	980	8	"no"
"981"	981	3	"yes"
"982"	982	7	"yes"
"983"	983	10	"yes"
"984"	984	7	"yes"
"985"	985	6	"yes"
"986"	986	4	"yes"
"987"	987	1	"yes"
"988"	988	4	"yes"
"989"	989	5	"yes"
"990"	990	2	"yes"
"991"	991	6	"yes"
"992"	992	10	"yes"
"993"	993	3	"yes"
"994"	994	1	"yes"
"995"	995	8	"yes"
"996"	996	9	"yes"
"997"	997	8	"yes"
"998"	998	3	"yes"
"999"	999	8	"yes"
"1000"	1000	5	"yes"
